"username","content","score","version","at","impact","app","platform"
"Belinda","ini kenapa koq tidak  bisa masuk otp berkali tidak  muncul di sms hp saya pulsa saya ada klommg harus pakai pulsa kenapa tidak  pakai alternatif lain jika otp via sms tidak  bisa seperti ke wa  saya mau perpanjang gadai saya ini gak sempet ke teller pegadaian","2","3.1","2023-10-06","Negative","pds","Android"
"Celine Gulo","kok aplikasi pegadaian digital jadi lemot gini mau login ga masuk masuk tambah emosi nihhh😬","2","5.5.0","2023-10-06","Negative","pds","Android"
"M.Rezza Syahrizal","lelet banget capek","1","5.3.1","2023-10-06","Negative","pds","Android"
"Moko Nugroho","halo kak admin pegadaian digital kenapa ya ini untuk mau login saja ga bisa hanya muter dengan tulisan silahkan tunggu hampir  menit cuma nungguin buat login doang trus eror keluar dr aplikasi untuk pengaduan hal seperti ini kontak kemana ya sementara bintang satu ya admin mohon maaf 🙏🙏🙏","1","5.5.0","2023-10-06","Negative","pds","Android"
"Abdurohman 1996","kenapa apk digital pegadaian loading terus sudah d akali bagaimanapun padahal saya sudah pake ram gb","2","5.5.0","2023-10-06","Negative","pds","Android"
"Rudianto ST","parah aplikasi sering error udh buat akun udh transaksi tpi di aplikasinya akun belum aktif parah bagaimana yah kalao kita transaksi besar takutnya uang kita hilang","3","5.4.0","2023-10-06","Neutral","pds","Android"
"Nurhalilah Siregar","tolong buat pegadaian seleksi karyawan itu yg benarbenar berpengalaman sya udah lama jadi nasabah pegadaian cicilan gk prnah telat tiba sya mau naikkan limit sya di over ke cro yg super lelet stelah sya di survei udah acc pengurusan  minggu lebih tiba kasih kabar dana habis apaan kyk gitu","1","5.5.0","2023-10-06","Negative","pds","Android"
"Gilang Prayoga","sorry saya hapus aplikasi ny mohon untuk tim it nya ini saya verivikasi akun premium muter terus thanks","5","5.5.0","2023-10-06","Positive","pds","Android"
"taufik ardijono","aplikasi gmn sh udh login malah ketutup lagi smua intruksi cs sudah dilakukan tp hsil nihil","1","5.5.0","2023-10-06","Negative","pds","Android"
"Muhammad Ridwan Effendi","cukup memuaskan aplikasinya  pelayanannya","4","5.5.0","2023-10-05","Positive","pds","Android"
"Saiful Bahri","jos","3","5.5.0","2023-10-05","Neutral","pds","Android"
"Aiu Ska","dulu ngecek jatuh tempo enak pake whatsappskrg ga bisa lagi terus diarahkan ke app iniudah punya akun tapi ga bisa buat ngecek jatuh tempo app ga guna mending pake whatsapp aja lagi","1","5.5.0","2023-10-05","Negative","pds","Android"
"Soulzayn Photography","gak gelas","1","5.5.0","2023-10-05","Negative","pds","Android"
"Mia Olobersyker","mau login aja susah ganti password ttp juga susah gak perlu di update mulu klo sama aja","1","5.5.0","2023-10-05","Negative","pds","Android"
"I Made Budhi Dwipayana","saya ga bisa login lewat user id maupun fingerprint mohon dibantu terimakasih padahal kemarin bisa","4","5.5.0","2023-10-05","Positive","pds","Android"
"DE AUF FAMILY","paswode bener tp sering gagal login sumpahtiap login suruh lupa passwordtolong di perbaiki","1","5.5.0","2023-10-05","Negative","pds","Android"
"Riani Indriani","mohon diperbaiki ya engga jelas banget apk nya susah banget login uninstal deh","1","5.5.0","2023-10-05","Negative","pds","Android"
"X Pander","buka aplikasi lain lancar jayagiliran masuk apk pegadaian leletnya luar binasa mengatasi masalah jadi masalah baru lagitlong lah di perbaiki cari solusi biar mudah malah buntung","1","5.5.0","2023-10-04","Negative","pds","Android"
"Erni Kiki M Purba","lelet makin di upgrade makin lelet semua data di hapus ternyata aplikasinya yg tak beres di kasi no yg di hubungi direspon pun tidak hadeeeh mengecewakan","1","5.5.0","2023-10-04","Negative","pds","Android"
"Zulfa Adja","mohon infonya kak aku kan abis ganti nomer trs nomer dipgdaianku ini no yg lama aku udh lapor dipegdain trdekat buat ganti nomer yg lama dengan nomr yg baru ini dan ini udah bln lebih tp blom ada pncerahan ini gmna ya kak caranya ganti nomer diaplikasi ini adakah yg tau mohon infonya","4","5.5.0","2023-10-04","Positive","pds","Android"
"Sri Utami Halman","aplikasi dan pelayanan paling buruk sedunia saya mau urus ubah nomor hp krn sudah lama hilang diminta chat ke wa admin wa semuanya sangat tidak solutif setidak saya bertanya kelanjutan proses saya diminta tunggu x jam setelah difollow up kembali tetap tidak ada jawaban sampai akhirnya sudah  bulan kalau ada rating minus ini aplikasi dan seluruh pelayanan digitalnya minus sejuta","1","5.5.0","2023-10-04","Negative","pds","Android"
"Adah 123","kog gk bisa bli emas","1","5.5.0","2023-10-04","Negative","pds","Android"
"Rifan Aldio","tampilan oke modern  kecepatan oke fitur oke overall bagus gapaham sama yang posting bilang aplikasi ini buruk kenapa","5","5.5.0","2023-10-04","Positive","pds","Android"
"Harsono No","transaksi pembayaran buka tabungan udah eh malah nyangkut","1","5.5.0","2023-10-03","Negative","pds","Android"
"Muridhal Mury","sofar so  bagus  aplikasinya benar  benar sangat membantu dalam transaksi","5","5.5.0","2023-10-03","Positive","pds","Android"
"nelson ture silitonga","lancar jaya","5","5.5.0","2023-10-03","Positive","pds","Android"
"Sinta Risakotta","terima kasih pegadaian digital saya sudah kembali normal🙏","5","5.5.0","2023-10-03","Positive","pds","Android"
"ISNI NURAFNI","mantap","5","5.5.0","2023-10-03","Positive","pds","Android"
"MrJange","dari tadi pagi sampai siang mau login ke akun keterangan opss coba lagi gitu terus","1","5.5.0","2023-10-03","Negative","pds","Android"
"Imas Masithoh","udh daftar tpi ngga bisa login masa disuruh masukin trus no hp  email udh dimasukin ttp aja ngga bisa ini aplikasi bukannya mempermudah malah nambah mumet aja","1","5.5.0","2023-10-03","Negative","pds","Android"
"Ary Julia","udah upgrade ke akun premium login nya malahan tambah susah n ribet akun ke blok padahal id sama password nya udah betull  mohon di tingkatkan lagi min biar penguna terbantu n terus memakai aplikasi ini  bukan nya malahan kesusahan kaya begini","4","5.5.0","2023-10-03","Positive","pds","Android"
"Yuni Si Yunie","gk bisa dibukasilahkan tunggu teroosssss","1","5.5.0","2023-10-02","Negative","pds","Android"
