"userName","content","score","reviewCreatedVersion","at","impact","app","platform","id","sentiment","accuracy"
"Doni Satriani","Pengalaman sy di jenius flexicash.rugi karena kena chas bayar lebih awal bukanya kena denda kalau kita telat bayar ..denda nya gede sampe 100 sy 2 kali bener merugikan sy lumayan itu uang 200 bs buat lunasin cicilan","1","3.63.3","2024-06-25","Negative","Large2","Pengalaman Pengguna","1","Negative","43"
"hanny syllvania","Bagus bgt, sangat membantu untuk perbankan.","5","3.63.3","2024-06-25","Positive","Large2","Dukungan Pengguna","2","Positive","44"
"oca olv","Pembayaran jatuh tempo diteror abis²an udh dilunasin pun masih terus ditelpon!!!!!","1","3.63.3","2024-06-25","Negative","Large2","Kebijakan dan Biaya","3","Negative","37"
"Arshaka rayyan","Pengajuan pinjaman cepat,walaupun belum pernah melakukan topup sekalipun,terimakasih modal usaha nya👍👍👍","5","3.63.3","2024-06-25","Positive","Large2","Dukungan Pengguna","4","Positive","42"
"My Contact","Parah ini, 3 minggu masih gak bisa login. Gak ada update yg bagus","1","3.63.3","2024-06-25","Negative","Large2","Privasi dan Keamanan","5","Negative","38"
"HASUNAH HASUNAH","Aplikasinya LEMOT BANGET, LOADING NYA LAMAAAA GAK BISA SAT SET","1","3.63.3","2024-06-25","Negative","Large2","Performa Aplikasi","6","Positive","47"
"Martina Anggraini","Aplikasi lelet, setiap mau dibuka selalu aja mintak update.","1","3.63.3","2024-06-25","Negative","Large2","Performa Aplikasi","7","Positive","47"
"FEBRI JOHANSAH","sangat amanah","5","3.63.3","2024-06-25","Positive","Large2","Privasi dan Keamanan","8","Positive","58"
"Ahmad Widiantoro","Aplikasi bank terlemot","1","3.63.3","2024-06-24","Negative","Large2","Performa Aplikasi","9","Negative","53"
"geo Ajha","Saya gak bisa login lagi padahal ini saya masih pakai hp yg sama tapi di suruh hapus di prngkat lama dulu prangkat yg mana lagi bantu jawaban nya","5","3.63.3","2024-06-24","Positive","Large2","Pengalaman Pengguna","10","Neutral","38"
"Deni Efendi","Jelek sekali","1","3.63.3","2024-06-24","Negative","Large2","Performa Aplikasi","11","Neutral","35"
"Rama Mulyana","Wah baru daftar,nko diterror anj*ng, gaka ada aku pinjam uang disini.. parah","1","3.63.3","2024-06-24","Negative","Large2","Dukungan Pengguna","12","Negative","36"
"Muhammad Nurul Teguh Cahyadi Mulyo hadi","Wis tau","5","3.63.3","2024-06-24","Positive","Large2","Pengalaman Pengguna","13","Neutral","24"
"Dwi Prayogo","Sebelumnya ada tulisan transaksi gagal disuruh login ulang giliran login malah gak bisa Mohon dibantu aaya gak bisa login mau tranfer uang","4","3.63.3","2024-06-24","Positive","Large2","Dukungan Pengguna","14","Negative","39"
"Wi Dianti","Nyesel aktivasi online yang ikut promo cashback 100℅, sudah mengikuti S&k tapi sampai saat ini tidak masuk, sumpah nyesel banget pake jenius gak lagi2 deh pakai apk ini buruk bintang 1","1","3.63.3","2024-06-24","Negative","Large2","Pengalaman Pengguna","15","Neutral","39"
"Twinny Bluee","nysel bngt download apk nya uang nya ngk cair harus konfirmasi dlu,,, astagaaaaaaa kalo bukan buat hal penting astaga 😭😭😭","1","3.62.0","2024-06-24","Negative","Large2","Performa Aplikasi","16","Neutral","39"
"farid adja","Mantaap","5","3.63.3","2024-06-24","Positive","Large2","Performa Aplikasi","17","Neutral","34"
"Rizka Rizka","Bagus","5","3.63.3","2024-06-24","Positive","Large2","Ketersediaan Fitur","18","Positive","42"
"Okta Surya Arif","Terlalu ribet, untuk login harus pake nomor telepon terus, tidak ada opsi pakai nomor WhatsApp, dan juga aplikasi tidak sinkron ketika kita ganti nomor telepon, kecewa berat, sudah 2 akun saya daftarkan kesini, hasilnya gagal semuanya, tolong di perbaiki btpn grup !!!","1","3.63.3","2024-06-23","Negative","Large2","Performa Aplikasi","19","Negative","43"
"Riski ardiansyah HARDOLIN","ribet kalo udah lupa email, harus pengenalan wajah","3","3.63.3","2024-06-23","Neutral","Large2","Pengalaman Pengguna","20","Positive","37"
"Reza Reza","Sangat lama prosesnya, saran saya pake aplikasi lain jgn ini","1","3.63.3","2024-06-23","Negative","Large2","Performa Aplikasi","21","Positive","52"
"Danres","Buset deh sidik jari tidak dikenal pin salah katanya password juga salah, padahal baru aja bikin","1","3.63.3","2024-06-23","Negative","Large2","Privasi dan Keamanan","22","Negative","40"
"olivia loa","apk terparah...ganti hp aja harus nelpon..untung aja udh tarik semua uang di jenius..","1","2.45.2","2024-06-23","Negative","Large2","Pengalaman Pengguna","23","Positive","41"
"Aji K","Payah parah","1","3.63.3","2024-06-23","Negative","Large2","Performa Aplikasi","24","Negative","39"
"Mbah Jenggot","Bagus","5","3.63.3","2024-06-23","Positive","Large2","Ketersediaan Fitur","25","Positive","42"
"Darwis","Aplikasi gilak! Udh update apk, udh coba hapus cache, 11 kali saya melakukan payment pake scan QR gagal terus.","1","3.63.3","2024-06-23","Negative","Large2","Performa Aplikasi","26","Positive","47"
"Gerrit Ezra Yudi Kairupan","Ribet banget asli","1","3.63.3","2024-06-23","Negative","Large2","Pengalaman Pengguna","27","Positive","36"
"SOFYAN","Saya kurang puas dengan pelayanan aplikasinya, sebab saya 2x video call dan hubungi CS nya,malah belum solusinya,sampai sekarang akun saya belum aktif juga","1","3.63.3","2024-06-23","Negative","Large2","Performa Aplikasi","28","Negative","43"
"nina khusniyah","Aplikasi loading terus di hp Android dan tidak bisa login","3","3.63.3","2024-06-23","Neutral","Large2","Performa Aplikasi","29","Positive","48"
"dita adelia","Kenapa belum muncul fitur face banner nya? Sebab saya mau pindahin akun saya ke ponsel baru. Kode OTP juga gak masuk ke email, padahal emailnya betul.","2","3.63.3","2024-06-23","Negative","Large2","Ketersediaan Fitur","30","Neutral","45"
"Kaka Donie","Gk bisa register gk bisa login,gk ada imel masuk juga Bnyak dosa yah lu jenius,jenius aplikasi yg gk jenius","1","3.63.3","2024-06-23","Negative","Large2","Performa Aplikasi","31","Positive","42"
"Nayla Putri","Knp ga ada kejelasan pengajuan Flexi cash udah 14 hari tp blm ada hasil.","4","3.63.3","2024-06-23","Positive","Large2","Performa Aplikasi","32","Positive","36"
"Agung Salam","Sangat tidak rekomendasi nh bank Abis deposit akun jenius saya tidak bisa di buka ' hilang 3 juta rupiah dalam sekejap Sangat tidak di sarankan pakai ini bank BAD APLICATION","1","3.63.3","2024-06-23","Negative","Large2","Privasi dan Keamanan","33","Negative","35"
"Dadang Hermansyah","salah klik pinjaman,pnjam nya melebihi kapasitas. jdi ngk di acc. tar lg hrs lbh teliti biar di acc krn bunga nya kecil","5","3.63.3","2024-06-23","Positive","Large2","Performa Aplikasi","34","Positive","36"
"Tien Rustini","👍","5","3.63.3","2024-06-23","Positive","Large2","Dukungan Pengguna","35","Positive","21"
"Mario Pransisko","Sangat menyenangkan memakai jenius","5","3.63.3","2024-06-23","Positive","Large2","Pengalaman Pengguna","36","Positive","41"
"Mickey Sativa","Hapus akun/data saya. Terima kasih","1","3.63.3","2024-06-22","Negative","Large2","Privasi dan Keamanan","37","Negative","39"
"Hendri Zarnadi","Sudah verifikasi dibantu oleh CS KCP purwakarta hasilnya gagal, melalui video call, hasilnya gagal juga. Trus harus gemana lagi.. kalau gak dipaksa oleh kantor untuk pembayaran salary, gak mau saya jadi nasabah bank ini..","1","3.63.3","2024-06-22","Negative","Large2","Dukungan Pengguna","38","Negative","36"
"Arju Bimo","Ok","2","3.63.3","2024-06-22","Negative","Large2","Performa Aplikasi","39","Positive","23"
"khalimatus syadiyah","benar2 ribet skali, mau aktifasi saja susah, pdhal sdh memasukkn data dll, sy mau uninstall app ini, tolong Hapus data sy, jangan disalah gunakan","1","3.63.3","2024-06-22","Negative","Large2","Performa Aplikasi","40","Negative","48"
"Dadan Godeg","Harus punya ktp fisik sedangkan di negara kita saat ini sudah digital bagaimana ? Mau cetak di capil ga bisa katanya ktp digital","3","3.63.3","2024-06-22","Neutral","Large2","Ketersediaan Fitur","41","Positive","35"
"Leisa Lis","Kenapa saya udah punya akun tapi ga bisa masuk akun","5","3.63.3","2024-06-22","Positive","Large2","Privasi dan Keamanan","42","Negative","38"
"Masiran Siran","Jenius memang Ok,banyak fasilitas yg bunganya sangat rendah,bisa menghadle segala kebutuhan","5","3.63.1","2024-06-22","Positive","Large2","Ketersediaan Fitur","43","Neutral","44"
"APJ Slotters Sulawesi","Semoga aplikasi ini bisa membantu","2","3.63.3","2024-06-22","Negative","Large2","Performa Aplikasi","44","Positive","53"
"F R I","Lama banget proses pengajuannya, orang lagi perlu uang ini😔,","1","3.63.1","2024-06-22","Negative","Large2","Kebijakan dan Biaya","45","Negative","39"
